category, question, answer
"Talent Sourcing Solutions","I’m looking to scale our tech talent acquisition. What other solutions do you offer?","We’re specialists in incorporating workforce development initiatives inside organizations. If you’re looking to diversify your pipeline with internal candidates, we can help. Contact our team at reskilling@techelevator.com to learn more."
"The Basics","How long is the bootcamp?","We offer both full-time and part-time options bootcamps.

The full-time, immersive program runs Monday – Friday for 14 weeks. Your days will run from 9 a.m. – 4:30 p.m. and will include lectures, working sessions, workshops and breakout group work. Some afternoons we’ll offer the option to for career talks after hours and mentoring opportunities. The lab is also yours to work in 24/7.

The part-time program is 30 weeks long and includes a mix of self-study, small-group programming projects and lecture from expert instructors. To cater to working adults, Monday-Friday includes independent student with Saturdays reserved for instructor-led reviews. Disclaimer: Saturday offerings are not available for every part-time cohort. Check with your admissions advisor regarding upcoming schedules."
"The Basics","Where are the bootcamps located?","We have campuses in Cleveland, OH, Columbus, OH, Cincinnati, OH, Pittsburgh, PA, and Philadelphia, PA.

We also offer National Live Remote campus options all over the country in cities across the United States with the same learn to code and career prep experience as our in-person program."
"The Basics","How many students are in a typical class?","Classes vary based on language and time of year, but typically we have around 15-18 students per class. With additional instructors on staff, we have a ratio of 1 instructor to 12 students which means a lot of personal attention."
"The Basics","What are my class options?","Campus Locations

Cleveland
Columbus
Cincinnati
Pittsburgh
Philadelphia
Online Bootamp
National Live Remote

For all current start dates, check out the Find my Bootcamp page."
"The Basics","Do I have to quit my job to do this full-time for 14 weeks?","Coding bootcamps are a unique form of education, and there’s a reason that we call them “bootcamps”: they’re intense periods of hard work designed to yield breakthrough progress and big payoffs on the other side. To be successful you have to be focused and dedicated.  We ask that all applicants for Tech Elevator’s full-time program be prepared to either take time off or step away fully from their jobs. Alternatively, we also offer a Part-Time Program that allows for students to learn at a more flexible pace.

For many it’s not hard to say goodbye to their current, unfulfilling job knowing that Tech Elevator will be their onramp to a new, satisfying career. If you love your company (but maybe not your role), consider talking to your employer about the program and how it can enhance your skill set for the job, or help them in other areas. Rather than lose you completely they may be willing to support you, sometimes with tuition support, sometimes with a leave of absence. It never hurts to ask!"
"The Basics","How do I choose a coding bootcamp that’s right for me?","Enrolling in a coding bootcamp is a big decision. To help narrow your options, our co-founder and CEO Anthony Hughes put together a framework to help people determine which bootcamp makes the most sense for them. The framework focuses on approaching how to choose a bootcamp, and provides questions to ask during your research. Access the free guide here, and download our free bootcamp comparison checklist."
"The Basics","Do I have to know code before I apply?","The short answer is “no”.

…but it’s always a good sign if somebody has made some strides towards learning the craft on their own. A lot of our students start teaching themselves online and decide to take the next steps with our program. What we really care about is your natural aptitude because when we have the right raw materials, we can make a great programmer.

Take our quick aptitude test to see if you’re a good fit for the program."
"The Basics","Do I need to provide my own computer?","Nope, all students will be provided with a laptop to use during the duration of the program, and any paid software licenses are provided by Tech Elevator.

Classrooms/labs will be equipped with the necessary equipment including shared monitors to allow students to collaborate via “pair-programming”."
"The Basics","How much does it cost?","The bootcamp tuition is $16,500.

You have a few payment options including credit card and ACH banking information. Some students save up and pay all in one sum, while others break out payments. We’re happy to work with you on payment options that work for you.

For payment and financing options, visit our financing page.

For more financing-specific FAQs, check out our Financing FAQs."
"The Basics","Do you offer payment plans?","Our payment plan follows this model:
Full-Time Programs:

$125 to hold your spot in class (once accepted)
Half of your tuition is due at the time of equipment release
The other half is due on day 1 of week 8 of the bootcamp
Part-Time Programs:

$125 to hold your spot in class (once accepted)
One-third of your tuition due at the time of equipment release
One-third due on day 1 of week 11 of the bootcamp
One-third due on day 1 of week 21 of the bootcamp"
"The Basics","Do you offer financing options?","Yes, we work with a variety of partner lenders. For more information, visit our financing page.

For more financing-specific FAQs, visit our Financing FAQs page."
"The Basics","Are there grants I can apply toward tuition?","Tech Elevator is an eligible training provider with the Workforce Innovation & Opportunity Act, which authorizes & funds employment & training programs in the United States.

Based on your qualification criteria & Tech Elevator accepted enrollment, you may be eligible for WIOA financial assistance. Visit our financing page for local office information.

For more financing-specific FAQs, visit our Financing FAQs page."
"The Basics","Are there scholarships I can apply toward tuition?","Through the generous support of hiring partners, we offer scholarships throughout the year. Check out our scholarship opportunities."
"The Basics","I have student loans; can I defer payments while in the program?","Most federal student loans are eligible for at least one income-driven repayment plan. If your income is low enough, your payment could be as low as $0 per month. Check out this website for more information."
"The Basics","I’m not from the region and need a place to stay during the program.","There are many great short-term rentals you can find through sites like Airbnb, Home Away and VRBO to name a few. We’ll work with you to help navigate housing options, neighborhoods and commute time."
"The Basics","Does Tech Elevator require COVID-19 vaccinations?","In alignment with county requirements and local public health recommendations, some Tech Elevator campuses require in-person students to be up-to-date with their COVID-19 vaccinations, as defined by the CDC. Tech Elevator also reserves the right to amend its policies at any time in response to changing public health and safety concerns—up to and including shifting its in-person instruction to Live Remote learning.

We have chosen to require vaccines to ensure the safest possible classroom experience, following the CDC and state regulatory guidelines, without inconveniencing students and Tech Elevator staff. Knowing that all students in a Tech Elevator campus are up-to-date on their COVID-19 vaccinations minimizes the risk of exposure and spread of the COVID-19 virus and reduces potential disruption during the cohort due to CDC quarantine and isolation requirements.

Students will demonstrate that they meet this requirement prior to picking up their laptops by showing proof of their vaccination, such as vaccination card(s).

For students who are unable or do not wish to receive the vaccine or those who feel more comfortable learning remotely, Tech Elevator offers our National Live Remote program starting the same day as in-person classes.

Are residents of all United States Eligible to apply for Tech Elevator?
Tech Elevator cannot accept applicants from New Mexico or North Dakota for its coding bootcamp programs at this time."
"VET TEC","Does the VET TEC Program cover full-tuition and fees for attending the VET TEC program?","Yes, full-tuition and fees are covered for those veterans attending Tech Elevator under the VET TEC program.

Disclaimer: VET TEC funding is applicable to Tech Elevator until the VA annual budget hits capacity. At this time, VET TEC funding is exhausted until the next fiscal period (starting in October 2023)."
"VET TEC","What does VET TEC stand for?","Veteran Employment Through Technology Education Courses (VET TEC)."
"VET TEC","Which Tech Elevator campus is approved to receive VET TEC funding?","The Full-Time National Live Remote Campus is the only campus that is approved under the VET TEC Program.

Disclaimer: VET TEC funding is applicable to Tech Elevator until the VA annual budget hits capacity. At this time, VET TEC funding is exhausted until the next fiscal period (starting in October 2023)."
"VET TEC","What is the VET TEC Program?","A five-year pilot program that pairs participating Veterans and eligible Service members with industry-leading Training Providers to help participants acquire new skills to enter the job market or enhance their business acumen. The ultimate goal is to give Veterans the high-tech skills sought by today’s top employers so they can acquire meaningful employment in high-demand training areas:

Computer software
Computer programming
Data processing
Information science
Media applications"
"VET TEC","How do VET TEC Payments work?","An initial 25 percent of tuition and fees are paid to the school  when the student enrolls and attends.
Another 25 percent of tuition and fees are paid to the school  when the student completes his or her training program.
The remaining 50 percent of tuition and fees are paid to the school once the student secures meaningful employment in his or her field of study"
"VET TEC","What is the annual budget for the VET TEC Program and what happens when the budget is reached?","VET TEC is subject by law to a $45 million annual budget. In the event that the annual budget cap is hit, VA will no longer accept new VET TEC student enrollments until additional funding is secured or the new fiscal year starts on October 1. However, if the budget is still available a student’s full-tuition coverage is secure the moment the student is certified within the VA System which is allowable no more than 30 days before the cohort start date. Your admissions coordinator will alert you as quickly as possible if the budget has been met for the fiscal year and will work quickly to help you understand your options."
"VET TEC","What happens if the program reaches budget and my enrollment cannot be certified?","Should the VET TEC program hit its budget for the fiscal year the student will be notified immediately. At that time the student will be provided other financing options if the goal is to continue to pursue the same start date at Tech Elevator. If the student wants to attend Tech Elevator through the VET TEC Program, certification of the student cannot be completed until additional funding is received or the funding is replenished in the new fiscal year beginning October 1."
"VET TEC","What does meaningful employment translate to that counts as placement for VET TEC Participants to ensure that Tech Elevator receives payment for the last 50%?","Traditional employment in a career in which the program of study was.
Promotion in the VET TEC student’s current career if the student is currently employed in a career of which the program of study was.
Self-Employment if the VET TEC is owning/operating a business and is utilizing the skills from the program of study in which they were enrolled.
If a VET TEC student is affirming Meaningful Employment via Self-Employment, additional information may be required such as a federal tax ID and corporation papers. Additionally, VA may require a written explanation as to how the skills learned by the VET TEC student will assist in growing their business."
"VET TEC","How long does the student have to find employment to be counted eligible for the final 50% payment?","Students have 180 days to find meaningful employment to count towards eligibility for the final 50% payment."
"VET TEC","What happens if a veteran is called to active duty during their 180 days of seeking employment?","The Department will only extend the 180-day requirement to find employment if the Veteran is called to Active Duty or for extenuating circumstances, the Department will evaluate such circumstance on a case-by-case basis. The 180-day period will be extended by the length of the call-up when less than 90-days."
"VET TEC","What are the requirements for a student to be eligible for VET TEC?","You may be eligible for VET TEC if you meet all of these requirements.

All of the following must be true:

You aren’t on active duty or are within 180 days of separating from active duty, and all of the following are true:
You qualify for VA education assistance under the GI Bill, and
You have at least one day of unexpired GI Bill entitlement, and
You’re accepted into a program by a VA-approved training provider
How does a student gain approval for VET TEC?
Access the application portion of the VET TEC website.
Create an account at  Login.gov, ID.me, DS Logon, or My HealtheVet and login
Prepare the following material to fill out the application:
Direct deposit information
Highest level of education
Previous high-tech industry experience, if applicable
Information about the training provider or program you want to attend (optional)
Complete this VET TEC application and receive a confirmation message that your application is complete
Fill out VA Form 22-1990, as prompted, if the student has not already applied for VA Education Benefits
VA will review and approve within 30 days
A COE (Certificate of Eligibility) or Denial letter will be disbursed via USPS"
"VET TEC","Will I be attending class with just veterans?","No you will not be attending class with just veterans. You will be attending class with non-veterans who are all pursuing the same career-change as you. However, you will be able to apply the good habits developed during  your military bootcamp to your coding bootcamp."
"VET TEC","Am I eligible for a MHA (monthly housing allowance) while attending Tech Elevator under the VET TEC Program?","Yes, you will be eligible for a MHA for the 14-week duration of the program. Payment is made directly to you from the VA. This payment will be made in arrears (i.e. if you began attending training in May, you will not receive your first MHA payment until around the first week in June). You are responsible for verifying your continued enrollment monthly with the VA in order to release this payment."
"VET TEC","Why is Tech Elevator not approved as a preferred program?","Being approved as a preferred provider has no implications on the student. It has only internal implications on Tech Elevator. Instead you can rest assured that regardless you are receiving a great value when choosing to enroll at Tech Elevator:

Tuition-Free Skills Training. In partnership with VET TEC, Tech Elevator will offer its industry-leading coding bootcamp to select Veterans, tuition-free. A monthly housing allowance will also be provided throughout the 14-week bootcamp.
Job Placement Support. Veterans will learn career skills alongside the tech curriculum with help from a career coach. Students will also have access to Tech Elevator’s nationwide hiring network of more than 750 top brands.
Lifelong Career (Renewed Purpose): Find your new purpose in a career that challenges you, and gives you the financial freedom and longevity to fulfill your professional and personal goals.
Credible Outcomes. Graduates have a 88% job placement rate within 180 days of graduating. Our results speak to our focus on quality and on student success, which has earned us a leading national bootcamp position."
"VET TEC","Does VET TEC training count against my GI Bill entitlement?","No, your VET TEC training will not count against your GI Bill entitlement, and you need only one day of unexpired GI Bill benefits to participate."
"VET TEC","Can I use VET TEC benefits more than once?","VET TEC students receiving benefits under the VET TEC Pilot Program are unable to participate in a subsequent VET TEC program for 18 months effective from their last date of attendance at their previous VET TEC program. This rule is in effect even if the VET TEC student voluntarily withdraws from a program or is terminated from a program due to failure to meet standards of progress.

The VET TEC Processing Team may waive this rule if the reason for the withdrawal or termination is due to an active duty call up or for medical reasons. The VET TEC student must contact the VET TEC Processing Team in order to request this waiver."
"VET TEC","Can a student seeking to use VET TEC funding also apply and be awarded the Represent Tech Scholarship?","Yes, a student can apply and be awarded the Represent Tech Scholarship and use VET TEC funding to pay the remainder."
